,Max,Min,Peak-to-peak,Mean,Standard Dev.,RMS,Kurtosis,Skewness,Crest,Form factor,Variation Coefficient
CPU_Temp,430.267,9.88,420.387,42.55573737373737,64.19757570945448,76.75083014074133,19.253754671884714,4.03051819748192,5.606024054866908,1.8035366058092777,1.5085527750500933
FlatstreamCutCounter,171.604,22.225,149.37900000000002,28.291837837837832,12.495632307980483,30.911388021770108,115.51598401078715,10.273251210274234,5.551481540691206,1.0925903152332104,0.44166916195414774
CutCounter,167.159,26.413,140.74599999999998,28.25856081081081,11.52233102610702,30.502677203170393,141.63742740829267,11.956376918210056,5.480141919563237,1.0794136830740884,0.4077465622983514
MotorAn,17.896,17.896,0.0,17.896,,17.896,-3.0,0.0,1.0,1.0,
CPU_Kuehler_Temp,150.072,9.906,140.166,17.34688114754098,14.487022574578635,22.581584754044574,29.95321699728138,4.348844820458956,6.6457691802662655,1.3017662692204266,0.8351370169289627
FlatstreamDone,171.473,7.68,163.793,14.953774999999998,12.620182036475597,19.552891436982627,83.36883219376735,7.288699010462351,8.769700407361412,1.3075555461401973,0.8439462300640206
HebenAktiv,168.063,0.477,167.58599999999998,14.195456666666665,14.009727257190214,19.92810091980668,46.28309977424362,4.416520031770166,8.433467929347998,1.4038365505071235,0.9869162779445781
bCutActive,141.467,2.902,138.56500000000003,14.12330536912752,12.956747011573698,19.151545656952482,28.987913307977173,3.1355255834906277,7.386714499915259,1.3560243269126162,0.9174018880804043
FFT_Anforderung,155.846,0.016,155.83,4.327593686354379,6.212037142567072,7.568234657296392,358.40774586291525,14.797965487450824,20.59212049533266,1.748832077549307,1.4354483329048788
TData.T1,176.2,0.077,176.123,2.3099863908546543,10.554779776531497,10.801794715115696,120.11157716337766,9.886403015074018,16.312104112979593,4.676129157245477,4.569195653410934
TData.T4,155.172,0.075,155.097,1.9303916591115138,6.984720506312009,7.245040871039176,131.01860409606994,8.88681246759293,21.417684559968983,3.7531455530499933,3.61829190120248
fLichtschranke,150.166,0.962,149.204,1.9253914037494284,3.528114725263278,4.018586062639953,1423.9473525607193,34.17096266918911,37.36786960868286,2.087152801666364,1.8324142916566324
TData.T2,179.399,0.076,179.323,1.8587833698030634,9.393436626297254,9.573563164550883,148.76896010142127,10.860627288082323,18.738999985322184,5.150445888465849,5.053540277419461
TData.T3,152.066,0.076,151.99,1.7625980680386393,7.879516298455541,8.072636070220033,134.33450894762493,10.159448481648955,18.83721731999931,4.579964211127836,4.470398805794452
vVorschub,143.873,1.546,142.327,1.6782207331493892,2.83233751767576,3.2917166626712944,2502.979103082135,49.9105772533773,43.707589304859596,1.9614324848042963,1.6877026136845106
Vib03.RMS,142.371,0.265,142.10600000000002,0.5979700968692967,1.7876140139997758,1.8848563535921832,5553.396660892485,70.23142765025955,75.5341380411656,3.152091322727417,2.989470582824996
Vib01.RMS,142.076,0.265,141.811,0.38056835239456754,1.3566553687093155,1.4089647303038397,10632.356302359034,101.91599027355296,100.8371586202599,3.7022645772790015,3.564813942549683
PData.CosPhi,141.673,0.265,141.40800000000002,0.37095775997213026,1.3283296542208631,1.3790995823944694,11151.009583814022,104.86874184483997,102.72862221741774,3.7176728220972652,3.5808110721842277
PData.PEff,141.673,0.264,141.409,0.3679581821323656,1.3524886998446526,1.4015922591449732,10308.54053373531,99.38408868089961,101.0800388455528,3.809107467110973,3.6756587175390543
Vib02.RMS,142.076,0.259,141.817,0.35087528830313014,1.2992129834021642,1.345707547522729,11663.934978793995,107.04628090663303,105.5771740758557,3.835287329668363,3.7027771026147067
Vib03.FrequencyBands,142.671,0.259,142.412,0.33622432709763994,1.2748428601216035,1.318386450394372,12264.865165295389,109.95082149271765,108.21637309555364,3.921151279489396,3.7916437252661606
Vib03.Peak,141.77,0.259,141.51100000000002,0.3324975411755523,1.252475727253544,1.2958115654465172,12692.968264619007,112.4236651907157,109.40633945580521,3.897206460129441,3.76687214836353
Vib01.Peak,141.77,0.259,141.51100000000002,0.3157157364168705,1.2186622492512529,1.2588502771910408,13454.092441340388,115.93202764861694,112.61863509006103,3.9872902487472373,3.8599984374618987
Vib01.FrequencyBands,148.365,0.259,148.10600000000002,0.3151054977711738,1.2856093714623291,1.3236163106769443,13067.522032252657,113.6520767502215,112.09064046976037,4.200549720773644,4.079933167005308
Vib02.Peak,141.77,0.259,141.51100000000002,0.3146654354731476,1.2164794779662487,1.2564741699436326,13505.275638343779,116.16364152524717,112.83160719997932,3.9930479432999415,3.8659456706361333
Vib02.FrequencyBands,148.365,0.259,148.10600000000002,0.3128271996459916,1.2780219211109032,1.315705296025716,13282.508149758534,114.77150136896843,112.76461411849493,4.205853255454205,4.085392582733108
Vib03.CREST,141.77,0.259,141.51100000000002,0.3109670024821142,1.2088945968291105,1.2482066871551996,13686.111007723252,116.98155819779325,113.57894606630369,4.013952210980946,3.887533362639151
Vib01.CREST,141.77,0.259,141.51100000000002,0.3104461370262391,1.207866899109792,1.2470817587658989,13710.932799043656,117.09360004100205,113.68139979875446,4.017063219763933,3.8907454629003886
Vib02.CREST,141.77,0.259,141.51100000000002,0.3104231161638245,1.2077766846706703,1.2469886629597768,13713.03990240485,117.10282494456577,113.68988685390556,4.0170612239511305,3.890743381473148
Vib01.Kurtosis,141.77,0.259,141.51100000000002,0.310400889083224,1.2077739034034982,1.246980436351371,13713.174864686558,117.10368797259024,113.6906368914776,4.017322373123208,3.891013028250936
Vib01.Skewness,141.77,0.259,141.51100000000002,0.310400889083224,1.207773909196449,1.2469804419617756,13713.174601534245,117.10368628745475,113.69063637996157,4.017322391197913,3.891013046913739
Vib02.Skewness,141.77,0.259,141.51100000000002,0.31040049551847265,1.2077298472039122,1.246937673624217,13714.176715791575,117.10796947144104,113.69453582066082,4.0171897004913415,3.8908760283600685
Vib02.Kurtosis,141.77,0.259,141.51100000000002,0.31040049551847265,1.2077298305497852,1.246937657494926,13714.177472409796,117.10797431687516,113.69453729131354,4.017189648528502,3.890875974706395
Vib03.Skewness,141.77,0.259,141.51100000000002,0.31040049551847265,1.2077298181798721,1.2469376455148367,13714.17803439075,117.10797791655132,113.69453838364619,4.017189609932915,3.890875934854934
Vib03.Kurtosis,141.77,0.259,141.51100000000002,0.31040049551847265,1.2077297867421894,1.2469376150678773,13714.179462644977,117.10798706311058,113.69454115976984,4.0171895118436405,3.8908758335739018
TData.T_IR,141.365,0.061,141.304,0.14152991992557398,0.8183670505927336,0.8305017131375894,29464.32155249984,170.75914630091464,170.21638578676846,5.868029273063416,5.782290069994291
Position,141.362,0.064,141.298,0.12763013123988734,0.7753320205416058,0.785755165595545,32990.50789362141,181.12322601568286,179.90591241338888,6.156502057642471,6.074835252533978
CutTime,141.562,0.06,141.502,0.11649788293897882,0.7691015947616586,0.7778641591854507,31658.47287760313,172.3984471117866,181.98807378943678,6.677066909386612,6.60185039726869
PData.CutEnergy,141.562,0.06,141.502,0.11649788293897882,0.7690990573634239,0.7778616504402832,31658.890485106924,172.40011121371904,181.98866073404372,6.677045374701997,6.601828616630529
P_Vorschub,141.362,0.06,141.302,0.10775976522971059,0.7109464286547873,0.7190578588765038,39422.354215131425,198.42954230880517,196.59335928943452,6.67278605649979,6.597512783544663
Position_Band,147.286,0.01,147.276,0.05821081880641997,0.5475258050059235,0.550607720884209,72272.70074789434,268.7847251664539,267.49715707487104,9.458855452888482,9.40591141359341
