,Max,Min,Peak-to-peak,Mean,Standard Dev.,RMS,Kurtosis,Skewness,Crest,Form factor,Variation Coefficient
MotorAn,269.717,12.984,256.733,92.11500000000001,114.14207616606593,137.50601465463245,-0.9593397338922012,0.8238278601078249,1.961492380369221,1.492764638274249,1.2391258336434448
CPU_Temp,1810.14,9.881,1800.259,48.022896,169.45662631561905,175.47655785568625,92.49731492294194,9.2964807875021,10.315565920142324,3.654018655094983,3.5286632092245966
CutCounter,1741.957,23.394,1718.563,38.7944966442953,145.41272360216738,150.02653545943045,125.61213059877741,11.085538714766669,11.610992646504544,3.867211806741968,3.7482822611528896
FlatstreamCutCounter,1710.487,23.083,1687.404,38.60622516556291,142.00708695536633,146.706862872196,126.58399694510413,11.120156437454487,11.659215980169206,3.800083075800423,3.6783468558857675
CPU_Kuehler_Temp,1740.047,9.85,1730.1970000000001,22.643067669172932,106.28104246626565,108.47075003896228,255.26021168568712,15.952602287042156,16.041624118713862,4.790461770630054,4.693756341635652
bCutActive,1744.661,2.579,1742.082,19.4726734006734,104.20273329518231,105.83399740719041,252.7881441104406,15.614473526729947,16.484882388855766,5.435000897387335,5.351228932519291
HebenAktiv,1739.245,0.089,1739.156,17.531043076923076,96.45106238429864,97.88524344122403,311.35073735245817,17.584226835742538,17.768204265072328,5.58353789969719,5.501729814996669
FlatstreamDone,1730.953,0.021,1730.932,17.428866013071893,98.35999865884948,99.73383615831159,299.97630797725094,17.36255736221388,17.35572466351728,5.722336501038554,5.643511091603901
FFT_Anforderung,1710.487,0.016,1710.471,5.807850574712644,52.950457695506785,53.24280715027504,1027.9168428524442,32.00633439368486,32.126161101390466,9.16738584530635,9.117048900337217
TData.T1,1713.76,0.08,1713.68,3.598913146936347,42.62020079563574,42.75924573602465,1541.0962212374434,38.52490643710966,40.079285087953686,11.881155223883185,11.842519965205915
fLichtschranke,1715.77,0.962,1714.808,3.5369931972789117,42.873294565992985,43.005731724232675,1572.2792991795868,39.457283103389734,39.89630989194879,12.158839252876694,12.121395822580709
TData.T3,1726.86,0.061,1726.799,3.416052243043725,43.03215569478771,43.155350700944624,1461.8210286834376,36.87478083875613,40.01496852537919,12.633106179457291,12.597042619127446
TData.T4,1759.34,0.078,1759.262,3.325075732448867,42.24362155624553,42.362639450144904,1649.6319521810717,39.81857087203593,41.53046228553594,12.740353260749785,12.70455922071097
TData.T2,1816.95,0.074,1816.876,3.049375757575757,41.7822379692649,41.882841445868955,1793.12318640731,41.45236619055974,43.38172715307051,13.734890277728732,13.701898778942752
vVorschub,1711.35,1.547,1709.8029999999999,2.315143184421535,33.41240745348618,33.48615526519048,2612.584910213805,51.1261482543459,51.10619557387593,14.463967278791607,14.432112742881886
Vib03.RMS,1715.052,0.267,1714.7849999999999,0.8616066715010876,20.69829176535974,20.71471731122872,6821.842320593184,82.41334708861008,82.7938887232765,24.041964850550222,24.022900994138382
PData.PEff,1710.239,0.11,1710.1290000000001,0.5946230104146196,16.97456166594753,16.984139972727068,10109.35081575544,100.40218132917217,100.69623794588844,28.56287038216759,28.546762181489548
PData.CosPhi,1712.449,0.11,1712.3390000000002,0.5792799808886765,16.740297679043664,16.74951799680726,10448.386518344327,102.19892422773103,102.23870324664995,28.914373963194336,28.89845710421804
Vib01.RMS,1714.159,0.257,1713.902,0.541849149303976,16.382836727408737,16.391049996862193,10889.881077169463,104.14862119806796,104.57896231956761,30.250208970369457,30.235051117922872
Vib02.RMS,1712.667,0.257,1712.4099999999999,0.519102920843415,15.948741399057784,15.9564983379891,11476.634590071435,106.94120938883464,107.33351163409684,30.738602495365853,30.72365952621686
Vib03.FrequencyBands,1714.159,0.258,1713.901,0.5073406742334406,15.813721146012616,15.82118798071513,11679.300989261066,107.82040642151769,108.34578301512089,31.18454479254977,31.169827197289354
Vib01.FrequencyBands,1714.159,0.257,1713.902,0.4831581765087606,15.496717546901543,15.503619469276137,12129.295265789475,109.74705122821103,110.56508471437826,32.088082584679235,32.07379756848751
Vib02.FrequencyBands,1714.159,0.257,1713.902,0.47975805412371136,15.435400329096357,15.442233064965045,12235.931861743436,110.26997093001013,111.00460618542544,32.187543142283715,32.17330109713208
Vib03.Peak,1709.955,0.257,1709.6979999999999,0.44585554657060944,14.658649434390034,14.664889845719644,13597.00397421173,116.61263335791573,116.60196687390038,32.89157207646667,32.8775755895381
Vib01.Peak,1709.955,0.257,1709.6979999999999,0.4225571657493207,14.270477992812612,14.27623578788304,14347.701835216894,119.78961957643348,119.77632097189966,33.78533591441288,33.771709840742545
Vib02.Peak,1709.955,0.257,1709.6979999999999,0.4212950125034732,14.249147764501359,14.254879785834731,14390.738550083226,119.96919616585006,119.95576432003345,33.83586171867442,33.822256000203396
Vib03.CREST,1709.955,0.257,1709.6979999999999,0.4206820420337102,14.238765454321712,14.244484978730808,14411.756151636626,120.05679668487375,120.04330114800388,33.860454108923825,33.84685827207411
Vib02.CREST,1709.955,0.257,1709.6979999999999,0.4190246649164019,14.210732001765173,14.216417742990268,14468.669149070778,120.29340902410384,120.28030062939959,33.927400779203616,33.91383178983105
Vib02.Kurtosis,1709.955,0.257,1709.6979999999999,0.4189095869595248,14.208773062791042,14.214456466547844,14472.654424456508,120.30994217051287,120.29689661537115,33.932039058158985,33.91847192115921
Vib02.Skewness,1709.955,0.257,1709.6979999999999,0.41864865051425415,14.204353969815829,14.21003206083454,14481.680272300318,120.34750076009998,120.33435200424003,33.94262000696624,33.92905710401233
Vib01.CREST,1709.955,0.257,1709.6979999999999,0.4185908620332667,14.203339074046466,14.20901600576045,14483.822418905767,120.35669414826708,120.34295684562325,33.94487862621143,33.931316620374965
Vib01.Kurtosis,1709.955,0.257,1709.6979999999999,0.4185042092188794,14.201873643163477,14.207548810191332,14486.8050361801,120.36904822346563,120.3553845103399,33.94840122805247,33.93484063080436
Vib03.Kurtosis,1709.955,0.257,1709.6979999999999,0.4183028484723085,14.198439721317198,14.204110802262267,14493.83121224377,120.39828493728245,120.38451570848476,33.95652421239148,33.94296685564438
Vib03.Skewness,1709.955,0.257,1709.6979999999999,0.418274,14.197950068038674,14.20362056242873,14494.832080878325,120.40244315937083,120.38867079589237,33.957694148880236,33.944137259400954
Vib01.Skewness,1709.955,0.257,1709.6979999999999,0.41827331034482756,14.197950074362202,14.20362054844007,14494.832078444617,120.40244314421085,120.38867091445906,33.95775010538086,33.944193242110785
TData.T_IR,1709.875,0.06,1709.815,0.1913716909096646,9.604316624356196,9.606071540003883,31682.545779913038,177.99387722668433,177.99940307328887,50.195885788239956,50.18671559363413
Position,1709.935,0.059,1709.876,0.17792216745878073,9.261324339430427,9.262897412419584,34076.61726007944,184.59801575703548,184.60044669255856,52.06151400198922,52.052672647302366
CutTime,1709.935,0.059,1709.876,0.17428316091954024,9.49599928546161,9.497462073770082,30359.213198739864,171.04424425501574,180.04125593957014,54.49443321810471,54.48604004746932
PData.CutEnergy,1709.955,0.058,1709.897,0.17428316091954024,9.496103198747134,9.49756596806564,30359.29732150697,171.04451541289924,180.04139226297627,54.495029341648774,54.4866362799738
P_Vorschub,1710.136,0.059,1710.077,0.14727933462846046,8.42683313629202,8.428017767643782,41173.56894908815,202.915879918436,202.91082045002642,57.22471376520695,57.21667033294437
Position_Band,1713.521,0.01,1713.511,0.08794827267973053,6.753805810409666,6.754326481767517,63722.083613047296,251.35965990875843,253.69235624387443,76.79885318912226,76.79293298919126
